Description,Verdict,Character
"The primary antagonist, a personified force that overwhelms Tarquin's reason and honor, driving him to commit his heinous crime.",Bad,Lust
"An allegorical figure whom Lucrece laments, portrayed as a relentless and often cruel force that collaborates with sin and causes sorrow.",Ambiguous,Time
"A personified concept, depicted as the treacherous accomplice of evil that provides the means for Tarquin to carry out his assault.",Bad,Opportunity
"A proud, passionate, and beautiful woman who feels trapped by the desolate Egdon Heath and yearns for the excitement of city life.",Ambiguous,Eustacia Vye
"The 'native' who returns to Egdon Heath from a successful life in Paris, hoping to become a schoolmaster for the rural poor.",Good,Clym Yeobright
"A local innkeeper, formerly an engineer; he is a dashing but fickle man who vacillates between his love for Eustacia and his duty to Thomasin.",Bad,Damon Wildeve
"Clym's cousin, a gentle, kind, and conventional young woman whose life is entangled with Wildeve's.",Good,Thomasin Yeobright
A reddleman (a traveling seller of red ochre) who is deeply in love with Thomasin and acts as a guardian figure throughout the novel.,Good,Diggory Venn
"Clym's mother, a proud and uncompromising woman who strongly disapproves of her son's marriage to Eustacia.",Ambiguous,Mrs. Yeobright
"Eustacia's grandfather, a reclusive and indifferent former naval officer with whom she lives at Mistover Knapp.",Good,Captain Vye
A timid and highly superstitious local man who often serves as a source of comic relief and represents the folk beliefs of the heath.,Good,Christian Cantle
"The ruling King of England; he is eloquent and believes strongly in his divine right to rule but is also vain, frivolous, and a poor statesman.",Ambiguous,King Richard II
"Richard's cousin, who is banished at the start of the play. He returns to claim his inheritance and ultimately usurps the throne to become King Henry IV.",Ambiguous,Henry Bolingbroke
"The Duke of Lancaster, Bolingbroke's father and Richard's uncle; an old, wise, and deeply respected statesman who delivers a famous speech about England before he dies.",Good,John of Gaunt
"Richard's uncle, who is torn between his loyalty to the rightful king and the practical necessity of supporting the more competent Bolingbroke.",Good,Duke of York
"The Duke of Norfolk, who is accused of treason by Bolingbroke at the start of the play and is banished for life by Richard.",Ambiguous,Thomas Mowbray
"Richard's young and loyal wife, who is politically powerless but serves as a figure of grief and devotion.",Good,Queen Isabel
"The Duke of York's son and Richard's cousin, who remains loyal to Richard and is later implicated in a plot against Bolingbroke.",Ambiguous,Duke of Aumerle
"A clergyman who remains steadfastly loyal to King Richard, bravely speaking out against Bolingbroke's usurpation in Parliament.",Good,Bishop of Carlisle
"Duke of Gloucester, The brilliant, charismatic, and utterly ruthless protagonist, who murders his way to the English throne, becoming King Richard III.",Bad,Richard
"The widow of the Lancastrian Prince of Wales, whom Richard shockingly seduces and marries over her father-in-law's corpse.",Good,Lady Anne
The wife of King Edward IV; a proud and shrewd queen who becomes Richard's bitter enemy after he murders her family and sons.,Good,Queen Elizabeth
"Richard's chief supporter and co-conspirator in his rise to power, who is later betrayed and executed by the new king.",Bad,Duke of Buckingham
"A lord initially loyal to the house of York who, upon discovering Richard's true ambition, is summarily executed.",Good,Lord Hastings
A Lancastrian claimant to the throne (later King Henry VII) who gathers an army in France to challenge Richard's tyranny.,Good,Earl of Richmond
"The embittered and prophetic widow of the former King Henry VI, who haunts the court and curses Richard and his allies.",Ambiguous,Queen Margaret
"The young sons of the late King Edward IV, who are imprisoned in the Tower of London and murdered on Richard's orders.",Good,The Two Princes
"The elderly matriarch of the family, who has lost her husband, father-in-law, and five of her six sons to the sea.",Good,Maurya
"Maurya's elder daughter, who is pragmatic and tries to manage the household and her mother's deep grief.",Good,Cathleen
"The younger daughter, who is more gentle and fearful, bringing the first news that suggests their brother Michael has drowned.",Good,Nora
"The last surviving son, who defies his mother's pleas and rides to the sea to sell a horse, leading to his own death.",Good,Bartley
"A son whose death is confirmed at the start of the play; his ghost is seen by Maurya, and his presence haunts the family.",Good,Michael
The primary antagonist of the play; an impersonal and relentless force of nature that has systematically destroyed the men of the family.,Bad,The Sea
"A personified force that dictates the tragic, unavoidable destiny of Maurya's family, reflecting a pre-Christian, fatalistic worldview.",Bad,Fate
"Represented by the old men and women who help with the coffin; they embody the shared, ritualized grief of a people constantly at the mercy of the sea.",Good,The Community
"A brilliant but volatile and undisciplined young American sculptor, taken to Rome by a wealthy patron, whose genius burns out in a blaze of passion and ego.",Ambiguous,Roderick Hudson
"Roderick's wealthy, patient, and introspective patron; he is a man of taste and morality who acts as a long-suffering guardian and observer of Roderick's genius.",Good,Rowland Mallet
"Roderick's pure, steadfast, and deeply moral fiancée from his hometown of Northampton, Massachusetts.",Good,Mary Garland
"A beautiful, intelligent, and dangerously captivating American girl raised in Europe, who becomes the object of Roderick's obsessive passion.",Ambiguous,Christina Light
"A wise, witty, and worldly older woman who is a friend to Rowland and serves as an astute commentator on the drama.",Good,Madame Grandoni
"A mediocre but diligent and cheerful American artist in Rome, who serves as a foil to Roderick's erratic genius.",Good,Augusta Blanchard
A lawyer in Northampton to whom Roderick was apprenticed; he represents the provincial and practical life that Roderick eagerly escapes.,Good,Mr. Striker
"Christina Light's devoted and long-suffering stepfather, who is tasked with the impossible job of managing her.",Good,The Cavaliere Giacosa
"The son of Montague; a passionate, impulsive, and romantic young man whose love for Juliet transcends his family's bitter feud.",Good,Romeo
"The daughter of Capulet; a young girl who matures quickly upon falling in love with Romeo, showing immense courage and devotion.",Good,Juliet
A Franciscan friar and a friend to both Romeo and Juliet; his well-intentioned but risky plans contribute to the tragedy.,Good,Friar Laurence
"A kinsman to the Prince and Romeo's close friend; a witty, cynical, and volatile character whose death marks the play's turn to tragedy.",Good,Mercutio
"Juliet's loyal, bawdy, and sentimental confidante, who acts as a go-between for the lovers but ultimately betrays Juliet's trust.",Ambiguous,The Nurse
"Juliet's cousin, a hot-headed and aggressive Capulet who is obsessed with honor and despises the Montagues.",Bad,Tybalt
The patriarch of the Capulet family; he is initially jovial but becomes tyrannical when Juliet defies his will to marry Paris.,Bad,Lord Capulet
"A kinsman of the Prince, a noble and respectable young man who wishes to marry Juliet.",Good,Paris
"The princess of Judea, a young woman of fatal, obsessive desire who demands the head of Jokanaan as a reward for her dance.",Bad,Salome
"The Tetrarch of Judea; a superstitious, decadent, and lecherous ruler who is captivated by his stepdaughter, Salome.",Bad,Herod Antipas
A holy prophet imprisoned by Herod; he spurns Salome's advances and pronounces doom upon the corrupt court.,Good,Jokanaan (John the Baptist)
"Salome's mother and the wife of Herod; a proud, cold, and vengeful woman who encourages her daughter's ghastly request.",Bad,Herodias
"The captain of the guard, who is infatuated with Salome's beauty and kills himself when she ignores him for Jokanaan.",Good,The Young Syrian (Narraboth)
"A devoted attendant to the Young Syrian, who has premonitions of his master's death.",Good,The Page of Herodias
A cynical and pragmatic Roman ambassador at Herod's court.,Ambiguous,Tigellinus
"A pervasive symbol in the play, whose appearance and color are interpreted differently by each character, reflecting their inner states and foreshadowing the tragic events.",Ambiguous,The Moon
"A young and inexperienced ship captain, new to his command, who feels like a stranger on his own vessel and is wracked by self-doubt.",Good,The Captain (Narrator)
The 'secret sharer'; a fugitive who killed a subordinate in a moment of crisis on another ship. He is the captain's physical and psychological double.,Ambiguous,Leggatt
"A white-bearded, reliable, but unimaginative officer who represents the conventional order of the ship that the Captain feels alienated from.",Good,The First Mate
"A personified concept, embodied by Leggatt, representing the narrator's hidden potential for decisive, and possibly violent, action.",Good,The Captain's Secret Self
"A personified entity that represents the Captain's command, his responsibility, and his very identity. He must master it to master himself.",Good,The Ship
"A personified force representing the vast, amoral, and isolating wilderness where the Captain's moral and professional test takes place.",Ambiguous,The Sea
The captain of the ship from which Leggatt has escaped; he represents the unyielding and unimaginative law that the narrator chooses to defy.,Ambiguous,The Skipper of the Sephora
An archetypal group representing the world of social judgment and expectation that the Captain must deceive to protect his secret double.,Good,The Crew
"An archetypal figure of high standing who, due to a fatal flaw, contributes to his own catastrophic downfall, evoking pity and fear in the audience.",Ambiguous,The Tragic Hero
"A personified concept, the inherent weakness (e.g., ambition, jealousy, pride) in the hero's character that is the engine of the tragedy.",Bad,The Tragic Flaw (Hamartia)
"A conceptual force, often represented by chance or accident, which conspires with character flaws to produce the tragic outcome.",Ambiguous,Fate or Fortune
"A recurring presence (ghosts, witches) that embodies the mysterious and often malevolent forces that influence the hero's actions.",Bad,The Supernatural
"A personified universal law which, though terribly violated by the play's evil, ultimately reasserts itself, often through the hero's death.",Good,The Moral Order
A central 'character' in the tragedies; the state of mental and physical agony that tests the hero and ultimately leads to waste and destruction.,Bad,Suffering
"A key Bradleyan concept, personified as the idea that the tragic plot springs directly from the motivations and decisions of the characters themselves.",Good,Character-as-Action
"Personified as the subjects of study; the distinct worlds of Hamlet, Othello, King Lear, and Macbeth, each with its unique tragic atmosphere.",Ambiguous,The Four Great Tragedies
"The protagonist, a Brahmin's son who embarks on a lifelong spiritual journey to find enlightenment (Nirvana) through direct experience.",Good,Siddhartha
"Siddhartha's loyal childhood friend, who seeks enlightenment by following established teachers, including the Buddha.",Good,Govinda
A beautiful and wise courtesan who teaches Siddhartha the art of love and the ways of the material world.,Good,Kamala
"A wealthy merchant who teaches Siddhartha the art of business, leading him into a life of worldly attachment and spiritual despair.",Ambiguous,Kamaswami
The enlightened ferryman who lives by the river; he becomes Siddhartha's final and most important spiritual guide.,Good,Vasudeva
"The historical Buddha, an enlightened being whose teachings Siddhartha respects but ultimately chooses to leave in order to find his own path.",Good,Gotama (The Buddha)
"The rebellious and resentful son of Siddhartha and Kamala, whose rejection of his father teaches Siddhartha the painful lesson of letting go.",Ambiguous,Siddhartha's Son
"A central character and symbol in the novel; it teaches Siddhartha the nature of time, unity, and the sound of the universe (Om).",Good,The River
"A reclusive and miserly weaver who is exiled from his community after a false accusation; his life is redeemed by the discovery of the orphan child, Eppie.",Good,Silas Marner
The golden-haired child whom Silas adopts after her mother dies in the snow outside his cottage; she is a symbol of love and redemption.,Good,Eppie
The eldest son of the local Squire; a well-meaning but morally weak man who is secretly Eppie's father.,Ambiguous,Godfrey Cass
"Godfrey's cruel, arrogant, and dissolute younger brother, who robs Silas Marner of his gold.",Bad,Dunstan 'Dunsey' Cass
A beautiful and principled young woman whom Godfrey loves and eventually marries.,Good,Nancy Lammeter
"A kind, compassionate, and wise village woman who befriends Silas and helps him raise Eppie.",Good,Dolly Winthrop
"Dolly's son, a good-hearted young man who grows up with Eppie and eventually marries her.",Good,Aaron Winthrop
"The most prominent landowner in Raveloe; a man of hearty but careless and undisciplined temperament, and the father of Godfrey and Dunsey.",Ambiguous,Squire Cass
"The protagonist, a young woman from a small town who moves to Chicago and uses her beauty and relationships with men to rise to stardom as an actress.",Ambiguous,Caroline 'Carrie' Meeber
"A charming and flashy traveling salesman who becomes Carrie's first lover, introducing her to a life of material comfort.",Ambiguous,Charles Drouet
"A successful and sophisticated saloon manager who falls obsessively in love with Carrie, eventually stealing money to run away with her, leading to his tragic decline.",Bad,George Hurstwood
"Hurstwood's proud and materialistic wife, whose actions help precipitate his downfall.",Bad,Mrs. Julia Hurstwood
A thoughtful and intellectual young inventor from Indiana whom Carrie meets later in her life; he represents a world of artistic and emotional fulfillment she can't quite reach.,Good,Robert Ames
"Carrie's friend in New York, a cheerful chorus girl who provides companionship but lacks any deep understanding.",Good,Lola
"Hurstwood's selfish daughter, who sides with her mother and shows no concern for her father's fate.",Bad,Jessica Hurstwood
"A personified force in the novel, representing the amoral, chaotic, and magnetic pull of modern urban life, which dictates the fortunes of the characters.",Ambiguous,The City (Chicago/New York)
"The nephew of Charlemagne and the greatest of his paladins; a hero of immense courage and skill, whose pride leads to the tragic defeat at Roncesvalles.",Good,Roland
"The wise and venerable King of the Franks and Holy Roman Emperor, who is portrayed as a champion of Christendom.",Good,Charlemagne
"Roland's closest friend and fellow warrior; he is as brave as Roland but also wise and prudent, urging Roland to sound his horn for aid.",Good,Oliver
"Roland's stepfather and the treacherous knight who, out of jealousy, betrays Charlemagne's army to the Saracens.",Bad,Ganelon
"A warrior-priest who fights and dies alongside Roland, blessing the Frankish troops and promising them paradise.",Good,Archbishop Turpin
"The Saracen King of Saragossa, who conspires with Ganelon to ambush the rearguard of Charlemagne's army.",Bad,King Marsile
A wise but deceitful Saracen lord who advises Marsile on how to trick Charlemagne and Ganelon.,Bad,Blancandrin
"Oliver's sister and Roland's betrothed, who dies of grief upon hearing the news of Roland's death.",Good,Aude
"The sensitive and artistic protagonist, whose intense, Oedipal bond with his mother cripples his ability to form lasting romantic relationships with other women.",Ambiguous,Paul Morel
"Paul's mother, an intelligent and strong-willed woman trapped in an unhappy marriage, who pours all her emotional energy into her sons.",Ambiguous,Gertrude Morel (Mrs. Morel)
"Paul's father, a coarse but once-vivacious coal miner whose descent into alcoholism alienates him from his family.",Bad,Walter Morel
"Paul's first love, a soulful, spiritual, and possessive young woman who offers him intellectual companionship but cannot connect with him physically.",Good,Miriam Leivers
"An older, sensual, and fiercely independent married woman with whom Paul has a passionate affair.",Good,Clara Dawes
"Paul's handsome and ambitious older brother, who is his mother's first favorite but dies young, intensifying her focus on Paul.",Good,William Morel
"Clara's estranged and brutish husband, who works as a blacksmith. He is Paul's rival but the two later form an unlikely bond.",Ambiguous,Baxter Dawes
"Paul's quiet and steadfast sister, who remains a loyal presence in the family throughout its many struggles.",Good,Annie Morel
"The Knight-Marshal of Spain, a loyal servant of the king who, driven mad by grief over his murdered son, orchestrates a bloody and elaborate revenge.",Good,Hieronimo
"The daughter of the Duke of Castile, a proud and determined noblewoman who loved the murdered Horatio and conspires with Hieronimo to avenge him.",Good,Bel-Imperia
Bel-Imperia's brother and the play's primary villain; a cunning and ruthless Machiavel who murders Horatio to advance his own political aims.,Bad,Lorenzo
"The prince of Portugal, who is captured by Horatio in battle; he is arrogant and entitled, and conspires with Lorenzo to murder his captor.",Bad,Balthazar
"Hieronimo's valiant son, who captures Balthazar in battle and falls in love with Bel-Imperia, for which he is murdered.",Good,Horatio
"The ruler of the court, who is largely oblivious to the corrupt plotting of his nobles and the suffering of his loyal servant, Hieronimo.",Ambiguous,The King of Spain
"Balthazar's father, a grieving and politically weak ruler who is manipulated by his ambitious nobles.",Good,The Viceroy of Portugal
"An allegorical figure who, along with the Ghost of Andrea, sits on stage as a chorus, promising that the play's crimes will be avenged by its conclusion.",Ambiguous,Revenge
"The narrator, a self-described 'philosophical bushman' and minor government official who wanders the Australian Riverina district, recording the stories and conversations he encounters.",Good,Tom Collins
"A lonely and mysterious bullock driver who is eventually revealed to be a woman in disguise, hiding from a tragic past.",Good,Nosey Alf
"A different bullock driver, whose story of losing his beloved child is one of the novel's most poignant and tragic episodes.",Good,Warrigal Alf
"The refined and intelligent mistress of a remote station, who engages in a long, philosophical debate with Tom Collins.",Good,Mrs. Beaudesart
A fiery and fiercely independent Irish settler who embodies the spirit of defiance against authority and social convention.,Good,Rory O'Halloran
"A bullock driver and a quintessential bushman: laconic, practical, and a master of bushcraft and storytelling.",Good,Thompson
"An archetypal figure, represented by Warrigal Alf's daughter, symbolizing the vulnerability of human life in the face of the indifferent bush.",Good,The Lost Child
"A personified force in the novel; it is the vast, unforgiving, and character-shaping environment that dictates the rhythms and philosophy of life for all the characters.",Ambiguous,The Australian Bush
"The protagonist, a passionate and proud young woman born of outcasts and raised in a stifling small town, who yearns for love and escape.",Good,Charity Royall
A charming and educated young architect from the city who has a summer romance with Charity but is ultimately bound by the conventions of his own class.,Ambiguous,Lucius Harney
"Charity's guardian, a disgraced but powerful small-town lawyer who harbors a complex, possessive, and inappropriate desire for his ward.",Ambiguous,Lawyer Royall
"A wealthy and socially prominent young woman from Harney's own class, to whom he is unofficially engaged.",Good,Annabel Balch
A venomous and gossipy young woman who is Charity's primary social rival in the town.,Bad,Ally Hawes
"Ally's older sister, a 'fallen woman' who was driven out of town and whose tragic fate serves as a warning to Charity.",Good,Julia Hawes
"A brutish older man from the Mountain, the community from which Charity originated.",Bad,Liff Hyatt
"A frail, elderly spinster who is the last descendant of the town's founding family and a symbol of its decaying gentility.",Good,Miss Hatchard
"A sensitive and introspective young man whose involuntary memories, particularly those sparked by a madeleine cake, initiate the novel's exploration of time and consciousness.",Good,The Narrator
"A wealthy and sophisticated man of society and a friend of the narrator's family, whose obsessive and tortured love for Odette forms a central narrative.",Ambiguous,Charles Swann
"A beautiful but intellectually shallow courtesan who becomes the object of Swann's obsessive love and, later, his wife.",Ambiguous,Odette de Crécy
"A pretentious and tyrannical social climber who presides over her own artistic salon, the 'little clan,' which Swann frequents.",Bad,Madame Verdurin
A famous and revered writer whom the narrator idolizes and Swann knows personally; he represents the pinnacle of artistic achievement.,Good,Bergotte
A shy and obscure provincial music teacher and composer whose 'little phrase' from a sonata haunts Swann and embodies the power of art.,Good,Vinteuil
"The daughter of Swann and Odette, who becomes the narrator's first love and the object of his childhood affections.",Good,Gilberte Swann
"The narrator's friend, a Jewish intellectual who is often pretentious and pedantic, representing a certain type of academic posturing.",Ambiguous,Bloch
A cynical and domineering English artist living in Paris who theorizes about the separation of art and life but is drawn into messy romantic entanglements.,Ambiguous,Frederick Tarr
"A violent, debt-ridden, and emotionally chaotic German artist who embodies the destructive, sentimental energy that Tarr despises; he is the novel's tragic antagonist.",Bad,Otto Kreisler
A conventional and submissive German art student who becomes the fiancée of Tarr and the object of Kreisler's obsession.,Ambiguous,Bertha Lunken
A sophisticated and sexually liberated Russian woman with whom Tarr has a passionate affair; she represents a more powerful and modern form of femininity.,Good,Anastasya Vasek
"A Polish acquaintance of Kreisler's, a buffoonish figure whom Kreisler challenges to a duel and ultimately kills.",Bad,Soltyk
A young woman at the center of a social circle that Kreisler disrupts with his aggressive behavior.,Good,Fräulein Liepmann
"Fräulein Liepmann's father, a figure of bourgeois respectability who is appalled by Kreisler's scandalous conduct.",Good,Herr Liepmann
"A low-energy English artist and a foil to Tarr, representing a more passive and less intellectual approach to art.",Good,Hobson
The titular character; a religious hypocrite who uses a mask of piety to deceive the gullible Orgon and attempt to take over his household.,Bad,Tartuffe
"The master of the house, who is completely and foolishly blinded by his admiration for Tartuffe's feigned holiness.",Bad,Orgon
"Orgon's intelligent and virtuous wife, who uses her wit to unmask Tartuffe's hypocrisy for her husband.",Good,Elmire
"Mariane's lady's maid; a sassy, clever, and outspoken servant who sees through Tartuffe from the start and is the voice of common sense.",Good,Dorine
"Orgon's hot-headed son, who tries to expose Tartuffe but is disinherited for his efforts.",Good,Damis
"Orgon's daughter, who is in love with Valère but is browbeaten by her father into an engagement with Tartuffe.",Good,Mariane
"Orgon's brother-in-law, a calm and logical man who serves as the play's primary voice of reason.",Good,Cléante
"Orgon's mother, a judgmental and sanctimonious old woman who is as deluded by Tartuffe as her son is.",Bad,Madame Pernelle
"The author's undercover persona, an intelligent and courageous journalist who feigns insanity to expose the horrific conditions of an asylum.",Good,Nellie Bly (Nellie Brown)
"The matron of the temporary home, who is one of the first to declare Nellie insane based on flimsy evidence.",Bad,Mrs. Stanard
"A cruel and abusive nurse at the asylum who delights in tormenting the patients, especially the most helpless.",Bad,Miss Grupe
"An assistant physician at the asylum, portrayed as indifferent and dismissive of the patients' actual conditions and complaints.",Bad,Dr. Ingram
"A fellow patient, a refined and seemingly sane woman who provides Nellie with information and companionship.",Good,Mrs. Caine
"A patient whom Nellie befriends, who claims she was tricked into the asylum by her husband.",Good,Anne Neville
"A young, innocent German girl who speaks little English and is clearly sane, serving as a prime example of wrongful commitment.",Good,Tillie Mayard
"An archetypal group representing the dehumanized and abused inmates, many of whom are sane and suffering from neglect rather than madness.",Good,The Patients
"An object from the first section ('Objects'), personified as a 'blind glass,' representing how an everyday item can be made strange and new through language.",Good,A Carafe
"An object of inquiry, whose simple description forces the reader to reconsider the relationship between a word, its meaning, and the object itself.",Good,A Box
"A subject from the 'Food' section, representing the sensual and often illogical connections between food, desire, and language.",Good,Asparagus
"A piece of furniture whose description defies conventional logic, acting as a character that challenges the reader's perception of reality.",Good,A Table
"The subject of the final section, personified as a space that contains and reconfigures the relationships between all the objects and foods within it.",Good,A Room
"The dominant presence in the work; a playful, revolutionary, and deeply inquisitive consciousness that dissects and reconstructs language.",Good,The Narrator's Voice
"The true protagonist of the book, deconstructed and reassembled to break free from conventional meaning and usage.",Good,Language Itself
"A conceptual character, represented by the focus on household objects and food, which is explored and defamiliarized through the experimental text.",Good,Domesticity
An ordinary Athenian citizen who is fed up with the Peloponnesian War and unilaterally negotiates his own private peace treaty with Sparta.,Good,Dikaiopolis
"A blustering, glory-seeking Athenian general and war-hawk who serves as Dikaiopolis's primary antagonist and a target of satire.",Bad,Lamachus
"The tragic playwright, who is comically visited by Dikaiopolis to borrow tragic costumes to make himself look more pitiful.",Good,Euripides
"A citizen of Megara, a city starving due to the Athenian embargo, who tries to sell his daughters disguised as pigs in Dikaiopolis's market.",Good,The Megarian
"A hearty farmer from Boeotia who comes to Dikaiopolis's market with a bounty of food, highlighting the benefits of peace and trade.",Good,The Boeotian
A self-proclaimed immortal who acts as Dikaiopolis's envoy to Sparta to broker the peace treaty.,Good,Amphitheus
"A group of elderly charcoal-burners from Acharnae, who are initially furious with Dikaiopolis for making peace but are eventually won over by his arguments.",Good,The Chorus of Acharnians
"An informer or sycophant who tries to confiscate the Boeotian's goods, representing the parasitic elements of the Athenian war effort.",Bad,Nicarchus
"The protagonist and narrator, a pragmatic and resilient boy who escapes 'sivilized' life and journeys down the Mississippi, developing his own moral compass.",Good,Huckleberry 'Huck' Finn
"An enslaved man owned by Miss Watson, who runs away to seek freedom. He is noble, compassionate, and acts as a father figure to Huck.",Good,Jim
"Huck's imaginative and reckless friend, who represents the romanticized and often cruel conventions of society that Huck leaves behind.",Ambiguous,Tom Sawyer
"Two con men who take over Huck and Jim's raft, committing a series of scams that reveal the greed and gullibility of the riverside towns.",Bad,The 'King' and 'Duke'
"Huck's father, a violent, abusive, and racist drunkard who represents the worst of society.",Bad,Pap Finn
"Huck's guardian at the beginning of the novel, a kind and patient woman who tries to civilize him.",Good,The Widow Douglas
"The Widow Douglas's sister, a stricter and more religious figure who is Jim's legal owner.",Ambiguous,Miss Watson
A respected local judge who is responsible for Huck's money and tries to protect him from his father.,Good,Judge Thatcher
"The brilliant and eccentric consulting detective, whose unparalleled powers of observation and deduction are the focus of the stories.",Good,Sherlock Holmes
"Holmes's loyal friend, biographer, and assistant, who serves as the narrator and the reader's stand-in, grounding Holmes's genius in a relatable context.",Good,Dr. John Watson
"A clever and resourceful American opera singer from 'A Scandal in Bohemia,' the only woman to ever outwit Sherlock Holmes, earning his eternal respect as 'The Woman.'",Good,Irene Adler
A European monarch who hires Holmes to retrieve a compromising photograph from Irene Adler.,Ambiguous,The King of Bohemia
"The gullible, red-headed pawnbroker from 'The Red-Headed League,' who is tricked by a fantastic story as part of an elaborate criminal plot.",Good,Jabez Wilson
The villain of 'The Adventure of the Speckled Band'; a cruel and violent man who plots to murder his stepdaughters for their inheritance.,Bad,Dr. Grimesby Roylott
"The terrified young woman who comes to Holmes for help in 'The Speckled Band,' fearing she will meet the same mysterious fate as her sister.",Good,Helen Stoner
"A detective from Scotland Yard, often portrayed as unimaginative and conceited, who serves as a foil to Holmes's genius.",Good,Inspector Lestrade
"The protagonist, a young, respectable lawyer in 1870s New York society, torn between his conventional fiancée, May Welland, and her unconventional cousin, Ellen Olenska.",Good,Newland Archer
"May's cousin, a bold and independent woman who returns to New York after separating from her brutish European husband, challenging the city's rigid social codes.",Good,Countess Ellen Olenska
"Archer's beautiful and socially perfect fiancée, who embodies the ideal of innocence and conformity demanded by their society.",Ambiguous,May Welland
"The matriarch of the powerful Mingott family; an obese, bedridden, but sharp-witted and influential woman who occasionally flouts convention.",Good,Mrs. Manson Mingott
"A member of Archer's circle, considered the foremost authority on 'form' (social etiquette) but is also a notorious adulterer.",Bad,Lawrence Lefferts
"The unofficial historian of Old New York society, a gossip who knows every family's secrets and scandals.",Ambiguous,Sillerton Jackson
"A flamboyant and charming British banker of questionable origins, whose financial and social recklessness leads to his eventual ruin.",Bad,Julius Beaufort
"May's mother, a hypochondriac who embodies the vacuous and controlling nature of Old New York's matriarchs.",Ambiguous,Mrs. Welland
"The titular 'Alchemist,' a brilliant and charismatic con man who uses jargon and deception to swindle a parade of gullible clients.",Bad,Subtle
"The mastermind of the con operation, who disguises himself as a captain to lure in victims and manages the trio's London house.",Bad,Face (Jeremy the Butler)
The female partner in the criminal trio; a sharp-witted and versatile prostitute who plays various roles to help deceive their clients.,Bad,Dol Common
A hedonistic and greedy knight who is the trio's primary target; he fantisizes about the immense sensual wealth the Philosopher's Stone will bring him.,Bad,Sir Epicure Mammon
"A skeptical gambler and Mammon's friend, who doubts the alchemists' claims and attempts to expose them by visiting in disguise.",Good,Pertinax Surly
A timid and superstitious tobacconist who seeks Subtle's help to design his shop for good luck.,Bad,Abel Drugger
An angry and aggressive young country squire who wants to learn the 'art of quarreling' to enhance his social standing.,Bad,Kastril
"Kastril's widowed sister, a naive and easily manipulated young woman who is offered as a prize to several of the suitors.",Ambiguous,Dame Pliant
"The protagonist, a wealthy, self-made American businessman who travels to Europe seeking a cultured wife and a rich experience of life.",Good,Christopher Newman
"A beautiful and widowed noblewoman, the object of Newman's affections, who is trapped by her family's dark past and rigid sense of honor.",Good,Claire de Cintré
"Claire's younger brother, a witty and honorable young man who befriends Newman and supports his suit for Claire's hand.",Good,Valentin de Bellegarde
"Claire's older brother, the cold, proud, and calculating head of the Bellegarde family, who embodies the worst of the old European aristocracy.",Bad,Marquis de Bellegarde (Urbain)
"The formidable matriarch of the family, who, along with Urbain, is responsible for a dark family secret and ultimately rejects Newman.",Bad,Marquise de Bellegarde
An intelligent and witty American expatriate who introduces Newman to Parisian society and to Claire.,Good,Mrs. Tristram
Mrs. Tristram's dull and conventional husband.,Good,Mr. Tristram
A pretty but ruthlessly ambitious young Frenchwoman who seeks to use Newman for her own social and financial advancement.,Bad,Noémie Nioche
An unnamed and obsessive literary critic who travels to Venice and ingratiates himself with the Aspern's former mistress in order to obtain the poet's private papers.,Ambiguous,The Narrator
"The former lover of the deceased poet Jeffrey Aspern; now an ancient, reclusive, and fiercely protective woman who guards his secrets.",Ambiguous,Juliana Bordereau
"Juliana's timid and lonely middle-aged niece, who becomes a pawn in the narrator's scheme to acquire the papers.",Good,Miss Tina Bordereau
"The deceased, famous Romantic poet whose letters and papers are the object of the narrator's quest. His presence looms over the entire story.",Good,Jeffrey Aspern
"The narrator's fellow editor and publishing partner, who encourages the narrator's quest from afar.",Ambiguous,John Cumnor
"A well-connected American friend of the narrator living in Venice, who provides him with initial information about the Bordereau household.",Good,Mrs. Prest
"The beautiful but decaying garden of the palazzo, which functions as a character, representing the faded romance and moral ambiguity of the narrator's quest.",Good,The Venetian Garden
A personified force that drives the narrator to deceit and manipulation in the name of scholarship and fame.,Bad,Literary Ambition
"The author and protagonist, portrayed as a resourceful, industrious, and pragmatic man who rises from humble beginnings through a commitment to self-improvement and public service.",Good,Benjamin Franklin
"Benjamin's son, to whom the first part of the autobiography is addressed. He later became a Loyalist during the Revolution, causing a painful rift with his father.",Ambiguous,William Franklin
"Benjamin's father, a candle-maker with a large family, whom Franklin respected for his sound judgment and integrity.",Good,Josiah Franklin
"Benjamin's older brother, a printer to whom young Ben was apprenticed. Their relationship was stormy, marked by James's jealousy and harsh treatment.",Ambiguous,James Franklin
"The governor of Pennsylvania, who falsely promises to set Franklin up in business, a deception that teaches Franklin a valuable lesson about empty promises.",Bad,Governor Sir William Keith
"A kind Quaker merchant who befriends Franklin in London and gives him a job, serving as a benevolent mentor figure.",Good,Mr. Denham
"Franklin's loyal and hardworking common-law wife, whom he marries after she has been abandoned by another man.",Good,Deborah Read
A fellow aspiring writer who travels with Franklin to London but proves to be an unreliable and unprincipled friend.,Bad,James Ralph
"A talented, light-skinned man of mixed race who can 'pass' for white. He struggles with his racial identity, ultimately choosing a life of safety and material comfort over racial solidarity.",Ambiguous,The Narrator ('Ex-Colored Man')
"A seamstress who raises her son with love and provides him with a cultural education, but keeps the identity of his white father a secret.",Good,The Narrator's Mother
